Shoal, Width,   1ft,    2ft,    3ft,    4ft,    5ft,    6ft,    7ft,    8ft,    9ft,   10ft,   Land, Mannings
  1,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
  2,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
  3,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
  4,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
  5,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
  6, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1961.,   0.1
  7, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2864.,   0.1
  8, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3786.,   0.1
  9, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  7799.,   0.1
 10, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2711.,   0.1
 11,  1740.,   199.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   725.,   0.1
 12,  3395.,  1002.,    86.,   157.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    57.,   0.1
 13,  1262.,  1218.,     0.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 14,  3909.,  2091.,     0.,   151.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   212.,   0.1
 15,  1695.,  2049.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   735.,   0.1
 16,  1155.,  2941.,    46.,   152.,    30.,   183.,    61.,     0.,     0.,     0.,     0.,   533.,   0.1
 17,  1413.,  3621.,     0.,     0.,     0.,     0.,     0.,   830.,     0.,     0.,     0.,     0.,   0.1
 18,  3975.,  3469.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 19,  2807.,  6025.,   242.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 20,  2715.,  5570.,    88.,   132.,   102.,   249.,   468.,   278.,     0.,     0.,     0.,   424.,   0.1
 21,   765.,     0.,     0.,    90.,    90.,   179.,   656.,  1641.,   298.,    60.,   597.,     0.,   0.1
 22,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   661.,  1633.,  4939.,     0.,   0.1
 23,   424.,     0.,    30.,     0.,     0.,    30.,     0.,     0.,    30.,     0.,  3476.,   178.,   0.1
 24, 10000.,  1000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1905.,   0.1
 25, 10000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3608.,   0.1
 26, 10000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3323.,   0.1
 27,  2015.,  2059.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   368.,   0.1
 28,  1843.,  2722.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 29,  1501.,  2485.,     0.,   119.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   179.,   0.1
 30,  1735.,  1763.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   593.,   0.1
 31,  3248.,  3304.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   698.,   0.1
 32,  1472.,  2197.,   671.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   128.,   0.1
 33,  3946.,  3915.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 34,  1155.,  7280.,     0.,     0.,     0.,     0.,     0.,    97.,     0.,     0.,     0.,     0.,   0.1
 35,  4187.,  4095.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 36,  2049.,  1790.,   200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 37,  1085.,  2607.,     0.,    15.,     0.,     0.,    15.,   165.,     0.,     0.,     0.,     0.,   0.1
 38,   702.,   119.,  2554.,  1099.,   564.,   713.,     0.,    30.,    30.,    30.,    30.,     0.,   0.1
 39,  1747.,  1060.,  3216.,  2545.,   778.,   848.,   424.,     0.,   106.,   106.,   353.,   283.,   0.1
 40,   518.,    30.,   777.,  1166.,     0.,    30.,     0.,     0.,     0.,     0.,     0.,    30.,   0.1
 41,   597.,   283.,  2325.,  3362.,   503.,    94.,     0.,    31.,     0.,     0.,     0.,    31.,   0.1
 42,  1949.,  2567.,     0.,     0.,     0.,     0.,     0.,   258.,     0.,     0.,     0.,   502.,   0.1
 43,  3655.,  3113.,     0.,    36.,    72.,    18.,    18.,   465.,     0.,     0.,     0.,     0.,   0.1
 44,  4813.,  2626.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 45,   300.,     0.,     0.,     0.,     0.,     0.,    41.,   568.,  1542.,  1623.,  7019.,     0.,   0.1
 46,  2129.,     0.,     0.,    82.,  1479.,  3082.,  2753.,   616.,     0.,     0.,     0.,     0.,   0.1
 47,  1874.,     0.,   239.,   507.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 48,  1240.,    89.,  1182.,   975.,   207.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 49,  1035.,    30.,   596.,   656.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 50,  1487.,    29.,   731.,   497.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 51,   493.,     0.,   911.,   210.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 52,   300.,    64.,   604.,    95.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    95.,   0.1
 53,   300.,   351.,   878.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   117.,   0.1
 54,   300.,    90.,   723.,   331.,   271.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 55,   300.,    94.,   469.,   219.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 56,   300.,   103.,   275.,   206.,    34.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 57,   300.,    30.,   297.,   178.,    59.,    59.,    30.,     0.,     0.,     0.,     0.,     0.,   0.1
 58,   300.,  1331.,   548.,   235.,    78.,    39.,    39.,     0.,     0.,     0.,     0.,   157.,   0.1
 59,   300.,   159.,   477.,   159.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 60,   300.,   658.,  1151.,    82.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   452.,   0.1
 61,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2496.,   0.1
 62,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1633.,   0.1
 63,   300.,   144.,    36.,    36.,    36.,   108.,     0.,    36.,     0.,   144.,   431.,  3303.,   0.1
 64,   300.,    30.,     0.,    30.,    30.,    30.,    30.,     0.,    61.,   152.,  1095.,  1065.,   0.1
 65,   300.,    94.,   157.,    31.,    63.,    31.,     0.,     0.,     0.,     0.,     0.,   817.,   0.1
 66,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2887.,   0.1
 67,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1493.,   0.1
 68,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2194.,   0.1
 69,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 70,   300.,     0.,     0.,    33.,    33.,    66.,   989.,  1088.,  3957.,  1781.,   396.,   132.,   0.1
 71,   543.,    83.,  2376.,  1125.,    42.,    42.,     0.,     0.,     0.,     0.,    42.,     0.,   0.1
 72,   481.,   257.,  1930.,   579.,    64.,     0.,     0.,     0.,     0.,    32.,     0.,    32.,   0.1
 73,  1148.,    61.,   917.,  1131.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   642.,   0.1
 74,  1166.,   195.,   942.,   390.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,  1007.,   0.1
 75,  1325.,  1520.,     0.,     0.,     0.,     0.,     0.,   115.,     0.,     0.,     0.,     0.,   0.1
 76,  2054.,  1822.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 77,  5361.,   652.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 78,  2139.,  1688.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 79,  1842.,  1676.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 80,  1588.,  1222.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    93.,   0.1
 81,  1811.,  2584.,   437.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 82,  3307.,  1670.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 83,  4023.,  2090.,     0.,    18.,     0.,     0.,    18.,    91.,     0.,     0.,     0.,     0.,   0.1
 84,  6486.,   795.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 85,  1763.,   370.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 86,  2251.,   332.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 87,  2199.,   721.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 88,  1701.,  1634.,   302.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   302.,   0.1
 89,  2675.,   444.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 90,  1189.,   799.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 91,  4965.,  1576.,     0.,     0.,    18.,     0.,     0.,   127.,     0.,     0.,     0.,   199.,   0.1
 92,  1732.,  1971.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   679.,   0.1
 93,  2198.,  1035.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 94,  1641.,  1798.,   381.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   345.,   0.1
 95,  1620.,  1022.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   299.,   0.1
 96,  1160.,  1921.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
 97,  2497.,   486.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   257.,   0.1
 98,  1550.,  1153.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    50.,   0.1
 99,  4590.,   718.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   502.,   0.1
100,  1469.,  2556.,   212.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   348.,   0.1
101,  1465.,   224.,   224.,   128.,   993.,  1634.,    32.,     0.,     0.,     0.,     0.,    32.,   0.1
102,  1100.,   138.,   620.,   138.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
103,  1463.,   146.,   584.,   672.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   146.,   0.1
104,  1471.,   207.,   828.,   414.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,   798.,   0.1
105,  1274.,   820.,   729.,   152.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   304.,   0.1
106,  1083.,   320.,   427.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    71.,   0.1
107,  1870.,   111.,   222.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
108,   706.,    91.,   518.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
109,  1129.,    67.,   875.,   370.,     0.,    34.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
110,  3158.,    58.,   346.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
111,  4596.,    65.,   294.,    33.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
112,   910.,   437.,  1156.,   500.,   500.,   156.,   500.,    31.,     0.,     0.,     0.,    31.,   0.1
113,   373.,   295.,   265.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   206.,   0.1
114,  1422.,  1033.,    63.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   156.,   0.1
115,   388.,   137.,   549.,   343.,     0.,    34.,     0.,     0.,     0.,     0.,     0.,   240.,   0.1
116,   870.,   319.,  1115.,   223.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   127.,   0.1
117,  2337.,   197.,   493.,   230.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
118,   536.,   507.,   507.,   222.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,    95.,   0.1
119,   399.,   257.,   542.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
120,  1302.,   145.,   833.,   797.,   290.,    36.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
121,   783.,   117.,   525.,   175.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    29.,   0.1
122,  1178.,   438.,   573.,   135.,   169.,   438.,   438.,     0.,     0.,     0.,     0.,   135.,   0.1
123,   421.,   308.,  1438.,    68.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
124,   370.,   212.,  1424.,    91.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   606.,   0.1
125,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1328.,   0.1
126,  9600.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2286.,   0.1
127,  9600.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1568.,   0.1
128,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1819.,   0.1
129,  1546.,  1013.,   328.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1226.,   0.1
130,  1140.,   944.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   315.,   0.1
131,   405.,   964.,     0.,     0.,    39.,     0.,     0.,    39.,     0.,     0.,     0.,     0.,   0.1
