,BA,BK,BN,BS,DK,GB,HC,JK,LB,LM,LR,LS,MK,PK,TC,TR,WB,MB,MD,TP,Gulf_1,Ocean_1
1999-09-01,38.113,35.796,36.288,31.549,31.129,32.029,0.242,36.498,22.489,27.146,35.546,12.867,35.917,37.096,9.670,17.777,36.216,28.276,27.043,31.113,36.260,36.930
1999-09-02,37.845,35.256,36.233,29.981,31.259,31.766,0.242,36.337,25.957,28.500,35.636,12.348,36.018,36.429,7.985,6.789,36.408,29.045,29.396,31.454,36.110,36.830
1999-09-03,37.720,34.056,36.420,29.545,31.337,33.040,1.220,35.984,24.768,29.142,35.713,12.943,35.778,36.333,17.979,1.196,36.513,29.067,29.001,31.294,35.950,36.740
1999-09-04,37.571,34.112,36.717,29.981,30.935,34.244,10.962,36.253,24.207,29.309,35.790,13.754,35.626,36.817,24.533,0.788,36.718,30.145,29.219,30.849,36.120,36.640
1999-09-05,37.680,33.949,36.996,29.111,30.419,35.183,7.002,36.340,23.805,29.165,35.802,13.813,35.710,36.731,25.503,11.387,36.792,30.219,29.205,30.945,36.150,36.540
1999-09-06,37.802,34.105,36.619,28.786,30.151,35.195,1.854,36.445,25.966,28.839,35.876,11.744,35.802,36.773,22.711,22.633,36.993,29.962,28.679,31.128,36.220,36.440
1999-09-07,37.724,33.369,36.580,27.468,29.898,34.495,0.398,36.208,19.442,28.055,35.608,11.397,35.876,36.842,15.063,24.434,36.492,29.299,26.578,31.094,36.130,36.340
1999-09-08,36.842,33.577,36.289,27.645,29.660,34.511,0.333,35.107,24.334,28.329,35.371,11.706,35.759,36.626,18.789,24.262,36.117,28.827,25.511,30.196,35.720,36.240
1999-09-09,35.960,34.259,35.258,27.657,29.644,34.875,0.313,35.648,25.215,28.511,35.288,11.065,35.519,36.259,22.914,24.542,36.349,28.372,24.372,29.019,35.680,36.140
1999-09-10,35.358,34.326,35.199,28.172,29.878,31.574,0.722,35.627,22.927,28.690,35.306,11.312,34.632,35.747,22.974,25.113,36.096,27.432,24.919,28.142,35.330,36.040
1999-09-11,35.910,34.470,35.260,29.020,29.991,26.238,0.589,35.737,20.610,29.316,35.091,11.508,33.719,35.108,12.671,25.997,35.842,27.690,28.156,28.382,34.910,35.940
1999-09-12,35.932,34.618,35.042,27.157,29.216,25.230,0.143,35.353,23.989,29.357,35.038,10.218,35.933,35.269,6.736,21.957,35.550,26.729,28.249,29.225,35.400,35.840
1999-09-13,35.984,34.008,35.628,26.238,29.964,23.489,0.148,34.968,22.261,27.845,35.214,10.508,34.974,35.344,6.297,8.804,35.488,27.156,27.038,29.332,35.130,35.740
1999-09-14,36.315,33.537,35.339,27.484,30.450,19.677,2.566,35.137,21.741,26.607,35.171,8.280,35.603,35.237,5.915,1.082,35.177,27.822,27.035,29.795,35.290,35.640
1999-09-15,36.191,32.595,35.502,26.935,30.258,24.255,7.592,35.235,21.878,29.064,35.420,9.448,35.317,35.864,20.197,0.534,34.992,28.971,26.594,29.807,35.460,35.540
1999-09-16,36.204,33.478,34.938,28.202,29.153,30.607,6.138,35.395,20.668,29.640,35.475,12.795,35.464,36.282,20.411,1.952,34.965,28.128,27.607,29.349,35.650,35.440
1999-09-17,36.361,33.726,36.209,27.464,28.104,31.533,4.363,36.213,27.795,28.344,35.549,11.058,35.845,36.045,15.601,18.615,35.312,28.701,25.960,29.610,35.910,35.330
1999-09-18,36.192,33.723,36.417,26.432,28.286,31.273,3.408,36.628,20.775,27.829,35.574,10.524,36.000,35.651,16.043,22.890,35.575,27.406,25.563,29.918,35.960,35.230
1999-09-19,35.713,32.467,35.909,26.172,27.960,26.852,1.949,36.411,23.912,26.299,35.398,9.940,35.867,35.868,10.510,24.217,33.570,26.431,24.832,29.836,35.890,35.130
1999-09-20,35.886,32.015,35.895,24.513,27.486,25.464,0.291,35.495,21.723,25.733,35.331,8.201,35.568,36.141,9.242,14.685,33.934,25.675,20.330,29.455,35.630,35.030
1999-09-21,35.583,31.854,35.369,25.319,28.166,26.222,2.700,35.485,20.340,25.972,34.909,9.504,34.857,34.658,23.207,4.649,34.697,24.572,14.452,27.541,34.980,34.930
1999-09-22,35.938,31.790,35.078,26.000,28.080,24.108,7.884,35.648,23.417,27.616,35.097,12.755,34.845,35.410,12.036,16.684,34.780,25.487,23.611,26.272,35.250,34.820
1999-09-23,36.625,32.236,33.952,25.203,26.495,23.101,3.959,35.744,21.853,28.527,35.617,11.064,34.814,36.148,6.558,7.151,35.032,25.696,25.899,26.547,35.580,34.720
1999-09-24,35.864,31.963,33.289,23.418,27.329,22.482,1.160,35.196,21.036,27.301,35.180,8.570,34.477,36.023,7.761,0.578,34.238,26.433,23.107,26.803,35.220,34.620
1999-09-25,34.802,31.306,32.784,21.714,25.989,19.794,0.176,34.403,16.644,23.999,34.296,5.891,33.601,35.243,5.909,0.417,32.982,25.081,22.719,27.431,34.390,34.520
1999-09-26,34.409,30.213,32.515,19.045,26.944,16.875,0.082,33.469,21.860,20.685,34.047,3.731,33.110,35.080,5.389,0.307,31.969,22.414,27.400,28.884,33.930,34.410
1999-09-27,34.228,29.693,32.637,17.903,27.367,13.802,0.154,33.054,11.613,20.068,33.891,3.445,32.872,34.778,4.746,0.241,31.614,18.319,23.910,28.690,33.650,34.310
1999-09-28,34.387,29.414,33.345,18.805,27.223,22.260,0.204,33.240,11.508,22.278,33.971,3.335,32.640,35.536,4.017,0.211,31.429,13.414,24.246,28.112,33.850,34.210
1999-09-29,34.574,28.378,33.488,16.681,27.264,24.090,0.221,33.747,10.676,21.432,33.928,3.197,32.921,36.430,2.843,0.205,32.057,19.804,26.763,27.859,34.260,34.110
1999-09-30,34.492,26.736,32.239,20.203,27.635,24.399,0.224,33.604,9.326,20.746,33.916,3.984,33.003,36.018,2.383,0.210,32.217,22.262,26.230,25.236,34.140,34.010
1999-10-01,34.354,27.259,32.030,18.988,27.899,24.402,0.230,33.622,9.890,19.390,34.090,3.226,33.009,35.852,1.709,0.218,32.290,19.150,27.822,26.698,34.140,33.910
1999-10-02,34.344,26.113,32.749,19.268,28.240,22.452,0.242,34.498,10.475,18.118,34.084,2.573,33.021,36.030,1.670,0.225,33.015,16.584,27.548,26.599,34.410,33.800
1999-10-03,33.064,26.139,33.308,20.336,28.067,21.687,0.246,33.619,9.824,16.338,33.735,2.429,31.324,36.121,1.577,0.228,31.994,17.643,26.452,26.711,33.700,33.700
1999-10-04,32.443,25.022,32.199,23.512,28.574,21.199,0.250,32.570,9.488,14.112,33.720,2.247,29.455,35.755,1.219,0.223,32.026,18.233,25.485,26.958,32.880,33.600
1999-10-05,32.859,25.144,32.215,25.605,28.902,20.603,0.916,32.567,8.434,18.132,33.442,4.322,30.444,35.557,1.506,0.216,31.109,20.723,27.459,24.171,33.000,33.500
1999-10-06,31.612,25.808,31.088,24.919,28.936,21.173,0.278,32.698,9.588,16.951,33.134,3.748,30.086,35.441,1.066,0.214,31.076,18.486,26.836,24.393,32.840,33.400
1999-10-07,31.293,24.093,30.921,21.234,29.121,19.323,0.247,32.251,8.768,14.515,33.112,2.974,29.404,35.532,0.956,0.221,30.813,18.317,24.340,25.335,32.570,33.300
1999-10-08,31.263,23.328,31.618,22.420,29.091,18.600,0.277,31.411,8.739,16.359,33.204,2.193,28.845,35.506,0.868,0.225,30.379,18.897,25.332,26.170,32.240,33.200
1999-10-09,30.259,23.629,31.894,22.375,28.836,16.605,0.309,30.696,9.191,14.766,33.240,1.924,27.185,35.178,0.757,0.228,30.578,19.785,27.706,26.339,31.570,33.100
1999-10-10,29.979,24.399,30.829,22.161,29.357,17.082,0.551,28.220,9.433,14.373,33.182,2.256,25.133,34.968,0.666,0.235,30.400,19.969,29.210,26.627,30.380,33.000
1999-10-11,30.665,21.229,29.542,21.633,28.879,15.769,0.763,24.672,20.716,14.380,30.813,2.554,23.219,34.687,0.767,0.239,29.816,19.163,27.103,26.732,28.350,32.910
1999-10-12,30.726,22.319,29.728,22.080,28.295,15.767,0.764,23.091,19.289,14.327,31.630,2.629,22.084,34.611,0.733,0.242,29.183,19.155,28.051,26.716,27.850,32.810
1999-10-13,31.200,24.517,29.648,20.821,28.462,23.957,0.749,25.292,18.969,13.793,32.202,3.130,20.565,34.245,0.701,0.249,29.483,19.355,26.276,26.573,28.080,32.710
1999-10-14,30.842,23.853,28.429,22.047,27.955,26.186,1.385,25.888,20.844,13.839,31.875,3.604,18.934,34.618,1.216,0.246,28.419,19.598,25.194,26.489,27.830,32.610
1999-10-15,28.053,23.876,27.687,22.063,25.893,26.599,2.293,24.070,21.909,13.946,30.331,4.283,14.992,32.390,12.396,0.237,24.274,18.112,26.874,22.863,25.450,32.520
1999-10-16,34.200,23.756,25.933,21.965,25.280,26.131,5.579,21.983,21.765,13.507,28.065,4.895,14.669,30.059,12.169,0.244,26.220,16.077,26.814,18.464,23.690,32.420
1999-10-17,33.689,23.696,26.076,23.712,22.102,24.264,4.684,21.229,23.567,13.965,29.001,5.001,14.896,29.033,3.227,0.194,24.932,10.668,27.889,17.670,23.540,32.330
1999-10-18,34.653,20.972,24.468,22.423,20.913,26.925,1.772,20.778,21.234,16.900,28.956,4.394,14.833,29.553,1.701,0.172,21.670,3.896,27.184,16.364,23.530,32.230
1999-10-19,32.875,17.430,22.832,12.135,22.245,28.263,0.169,22.862,9.580,16.455,29.292,2.130,15.209,29.678,1.760,0.160,22.267,2.192,24.692,17.381,24.260,32.140
1999-10-20,33.122,16.192,23.302,10.572,23.175,27.600,0.166,24.995,7.282,14.155,30.005,1.615,15.021,29.893,1.807,0.158,22.661,2.712,24.934,16.960,24.980,32.050
1999-10-21,33.628,16.898,23.185,12.702,22.907,26.599,0.174,24.483,5.720,17.088,30.225,2.825,15.598,30.115,1.571,0.161,23.494,3.927,27.046,15.112,25.110,31.950
1999-10-22,34.242,18.233,22.557,18.500,23.413,23.759,0.211,23.155,4.213,18.171,30.756,4.455,16.749,30.042,1.390,0.166,23.132,6.631,26.413,10.805,25.180,31.860
1999-10-23,31.842,19.795,22.004,17.504,23.772,24.432,0.240,22.184,5.042,16.564,30.858,3.851,18.518,29.855,1.487,0.169,21.654,11.326,26.114,11.152,25.350,31.770
1999-10-24,32.497,22.595,21.392,17.093,21.296,28.731,0.266,21.124,5.295,16.402,30.647,3.714,20.084,29.921,1.239,0.172,21.781,13.286,25.370,13.605,25.440,31.680
1999-10-25,32.045,23.318,21.597,16.023,21.394,21.905,0.265,21.326,6.144,15.903,30.376,4.354,20.513,29.800,0.912,0.174,21.723,13.202,25.142,14.228,25.500,31.590
1999-10-26,24.889,20.317,20.526,15.286,21.870,4.802,0.805,21.741,6.795,15.346,29.034,2.960,21.370,29.455,0.897,0.177,20.937,13.211,27.253,14.758,25.400,31.500
1999-10-27,24.874,23.701,20.337,14.915,22.644,4.548,2.860,23.371,6.810,14.095,28.482,2.364,22.125,29.170,0.768,0.180,20.808,13.061,24.646,15.410,25.790,31.410
1999-10-28,24.733,23.684,20.230,14.285,21.744,4.653,2.568,23.722,6.019,13.370,26.680,2.291,22.620,29.187,0.666,0.183,20.805,12.460,24.608,15.870,25.550,31.330
1999-10-29,24.288,17.996,20.784,12.272,21.714,8.282,0.617,23.941,6.077,12.610,25.059,2.262,22.817,29.055,0.698,0.184,21.406,12.096,27.151,16.728,25.220,31.240
1999-10-30,24.294,17.164,20.059,12.838,20.335,14.301,1.035,24.572,6.599,14.583,24.646,2.303,22.315,29.832,0.712,0.186,21.523,11.149,25.547,17.485,25.340,31.150
1999-10-31,24.680,17.373,20.718,12.870,20.673,16.684,0.385,24.379,6.903,14.902,23.956,2.407,22.402,30.638,0.628,0.192,21.462,11.015,25.788,18.033,25.340,31.070
1999-11-01,24.786,17.448,20.660,12.814,20.345,16.360,0.218,24.601,6.954,14.893,23.629,2.141,22.669,30.849,0.636,0.201,21.351,11.857,27.111,18.276,25.440,30.990
1999-11-02,24.874,19.118,21.070,12.407,20.213,14.700,0.238,24.862,6.207,12.599,25.375,2.487,22.866,31.553,1.780,0.203,21.816,14.074,26.576,18.035,26.160,30.900
1999-11-03,23.850,26.088,20.253,14.482,17.298,6.902,0.213,26.286,6.503,12.248,25.665,2.906,22.950,29.376,0.725,0.205,21.599,13.674,27.925,15.999,26.070,30.820
1999-11-04,23.509,23.304,19.394,13.116,19.998,4.531,0.236,26.993,6.604,12.225,24.438,2.285,23.142,28.670,0.685,0.205,21.917,14.310,24.717,17.013,25.810,30.740
1999-11-05,23.305,16.420,19.663,12.621,20.490,5.109,0.239,27.136,6.680,11.325,22.879,2.411,23.104,28.025,0.708,0.205,21.908,14.544,25.655,18.599,25.290,30.660
1999-11-06,23.148,15.844,19.069,13.501,20.289,8.245,1.306,27.073,6.626,12.010,22.235,2.593,23.154,28.828,0.670,0.204,22.747,14.309,25.296,19.293,25.320,30.580
1999-11-07,22.858,15.618,17.717,14.408,19.693,10.405,2.858,26.926,6.608,11.560,21.742,2.690,22.936,30.285,0.622,0.205,23.148,14.635,25.892,19.323,25.470,30.510
1999-11-08,22.556,16.602,17.880,14.078,19.803,14.490,3.268,27.183,6.891,11.390,21.467,2.648,22.718,31.520,0.606,0.207,23.640,15.427,25.977,19.054,25.720,30.430
1999-11-09,22.626,17.417,19.408,14.010,19.898,16.749,2.866,27.355,6.783,11.297,21.733,2.597,22.660,32.680,0.622,0.212,23.978,16.460,27.021,18.901,26.110,30.360
1999-11-10,23.486,17.296,19.560,14.142,19.787,16.195,4.030,27.442,7.067,11.367,21.406,3.029,22.593,33.462,0.631,0.216,23.797,15.579,26.801,19.138,26.230,30.280
1999-11-11,23.338,17.474,19.846,13.895,19.775,16.592,3.474,27.468,6.930,12.073,21.513,4.332,22.498,33.331,0.614,0.221,23.299,15.129,26.500,19.184,26.200,30.210
1999-11-12,22.690,17.054,18.679,14.932,19.646,14.863,3.904,27.569,6.898,11.003,20.846,3.286,22.373,32.729,0.657,0.227,23.119,15.151,26.624,19.085,25.880,30.140
1999-11-13,21.986,16.732,18.099,15.666,18.992,15.677,5.489,27.498,8.285,12.273,21.350,3.810,23.244,32.476,0.686,0.235,22.724,15.921,27.106,18.794,26.140,30.070
1999-11-14,23.132,17.433,18.072,16.060,19.269,14.927,6.238,26.994,8.498,13.497,21.462,5.719,23.392,31.348,5.083,0.242,23.203,15.204,26.303,19.014,25.800,30.000
1999-11-15,25.232,21.719,18.917,16.929,18.999,13.512,7.953,26.925,8.282,12.880,21.280,6.942,22.971,30.628,12.987,0.248,23.087,16.187,18.511,18.294,25.450,29.930
1999-11-16,25.073,27.329,19.199,18.147,18.819,12.442,6.958,27.673,7.808,13.022,22.556,7.165,22.953,30.389,16.686,0.255,23.518,17.853,17.917,17.910,25.890,29.870
1999-11-17,24.810,27.566,19.123,18.870,18.281,11.916,5.926,28.269,8.568,12.895,22.956,9.022,22.533,29.541,10.260,0.261,24.013,17.179,17.103,18.003,25.820,29.800
1999-11-18,23.935,26.522,19.357,17.264,18.629,13.728,4.640,28.513,10.348,12.427,23.035,8.833,22.568,29.928,2.707,0.265,23.550,17.314,16.521,18.157,26.010,29.740
1999-11-19,23.620,23.765,19.494,16.567,18.487,16.951,4.802,28.522,11.073,12.321,22.533,8.543,22.044,30.355,3.731,0.267,23.273,17.713,16.774,18.605,25.860,29.680
1999-11-20,24.892,24.879,18.976,17.463,18.750,16.182,11.376,28.522,10.987,12.945,22.342,8.744,21.397,30.840,12.494,0.270,23.116,17.714,16.972,19.073,25.780,29.620
1999-11-21,26.322,26.457,19.052,17.770,19.253,15.254,11.572,28.564,10.699,12.500,22.647,8.722,20.949,30.309,10.424,0.274,23.064,17.053,17.234,18.943,25.620,29.560
1999-11-22,25.879,25.770,19.267,17.929,19.827,15.424,11.316,28.308,11.474,13.110,23.821,8.798,20.808,30.269,12.601,0.278,23.609,17.223,17.603,18.826,25.800,29.500
1999-11-23,25.500,25.455,19.304,18.447,20.186,16.924,11.637,27.795,11.489,12.859,25.446,8.968,20.650,29.149,12.700,0.284,24.340,17.260,17.402,18.665,25.760,29.440
1999-11-24,25.470,25.361,19.578,19.555,20.302,18.879,11.377,27.249,12.426,12.847,27.079,9.490,23.394,28.333,11.715,0.291,24.329,17.100,17.398,18.451,26.510,29.390
1999-11-25,24.980,25.273,19.042,19.571,19.935,22.390,7.589,26.754,12.902,12.765,27.734,9.610,25.514,27.288,17.233,0.302,23.143,16.713,17.713,18.080,26.820,29.330
1999-11-26,25.318,25.408,19.169,20.826,19.498,22.563,10.219,26.606,12.151,13.000,27.728,9.721,25.261,26.719,14.591,0.312,22.281,16.863,17.647,18.081,26.580,29.280
1999-11-27,25.309,25.391,19.792,21.305,19.204,21.278,8.567,26.561,11.888,13.863,28.397,10.842,25.276,27.095,7.881,0.314,22.362,16.405,18.013,18.189,26.830,29.230
1999-11-28,24.115,25.729,19.428,20.219,18.802,17.316,3.007,26.937,12.289,14.106,28.962,11.365,25.311,27.344,2.494,0.319,23.209,16.459,16.935,18.269,27.140,29.190
1999-11-29,24.048,25.700,18.983,19.177,18.402,17.265,6.833,27.151,12.579,13.683,29.180,10.267,25.358,27.685,2.321,0.320,23.555,17.051,16.177,18.246,27.340,29.140
1999-11-30,24.054,25.864,18.464,20.411,18.657,15.232,8.564,27.177,12.997,12.794,29.058,10.092,25.558,27.948,2.172,0.320,23.442,17.092,17.296,18.286,27.440,29.090
1999-12-01,23.652,26.272,18.238,18.667,19.008,6.682,8.699,27.240,13.607,12.653,28.302,9.835,25.867,27.927,1.834,0.319,23.774,17.517,16.617,18.578,27.330,29.050
1999-12-02,23.215,26.677,17.291,19.086,19.604,6.571,8.222,27.352,13.940,12.534,28.114,9.751,26.366,28.132,1.650,0.316,23.812,17.697,16.518,18.874,27.490,29.010
1999-12-03,22.918,26.668,17.424,18.045,19.645,14.835,7.753,27.347,14.166,13.312,27.902,9.695,26.449,29.430,10.061,0.314,23.911,17.814,16.069,18.965,27.780,28.970
1999-12-04,23.343,26.683,17.813,18.126,19.764,21.283,8.260,27.409,14.286,13.617,27.912,9.760,26.520,30.573,17.193,0.315,23.870,17.844,16.423,18.786,28.100,28.930
1999-12-05,23.993,26.532,18.072,18.399,19.726,22.276,10.193,27.213,15.273,14.401,27.667,10.057,26.543,32.714,17.924,0.314,23.826,17.638,16.788,18.688,28.530,28.890
1999-12-06,24.139,26.177,18.685,18.805,19.354,21.256,12.819,27.486,14.642,15.221,27.690,10.504,26.730,31.687,17.813,0.319,23.803,17.408,17.213,18.661,28.400,28.860
1999-12-07,24.072,26.408,18.264,19.001,19.534,21.075,9.398,27.397,14.790,15.530,28.216,11.406,26.914,29.355,9.088,0.327,23.908,16.664,18.781,17.998,27.970,28.830
1999-12-08,23.827,26.331,18.742,18.533,19.538,20.444,5.274,27.349,16.010,15.109,28.031,10.507,26.999,28.944,4.080,0.337,24.060,16.351,18.395,18.088,27.830,28.800
1999-12-09,23.471,26.298,19.062,17.490,19.522,20.031,4.045,27.421,15.038,14.489,27.757,10.017,26.958,28.069,3.437,0.344,23.908,16.337,17.132,18.197,27.550,28.770
1999-12-10,23.657,26.066,18.996,18.626,19.662,20.405,5.179,27.507,15.128,14.958,27.471,9.728,27.082,27.807,4.739,0.344,23.911,16.462,16.936,18.176,27.470,28.740
1999-12-11,23.736,26.361,19.090,19.196,19.867,19.753,6.838,27.415,15.304,15.658,27.041,10.353,27.053,28.048,7.004,0.345,24.174,15.801,19.050,18.171,27.390,28.720
1999-12-12,23.859,26.884,19.162,19.620,19.790,18.394,3.642,27.557,15.020,15.397,27.349,9.970,27.121,28.334,11.779,0.349,24.472,16.008,18.117,18.123,27.590,28.690
1999-12-13,25.203,26.745,20.231,19.630,19.684,18.572,3.837,27.572,13.017,14.872,27.522,9.935,26.887,28.914,15.673,0.349,24.548,16.690,16.827,19.719,27.720,28.670
1999-12-14,24.344,26.967,19.920,19.205,19.588,18.907,3.410,27.638,10.598,13.906,27.551,10.386,26.845,28.696,14.353,0.352,24.484,16.938,15.047,21.726,27.680,28.650
1999-12-15,23.340,26.746,19.056,19.226,19.474,18.691,3.887,27.644,10.463,14.009,27.284,10.630,26.875,28.007,5.948,0.358,24.516,16.643,18.095,21.380,27.450,28.640
1999-12-16,22.814,25.744,19.151,18.368,19.551,13.000,2.281,27.216,10.191,13.101,26.961,10.240,27.079,27.483,3.119,0.361,24.437,15.586,17.730,21.656,27.180,28.620
1999-12-17,22.646,25.311,18.735,17.545,19.388,10.114,3.441,27.575,10.173,12.682,27.020,9.947,26.830,27.635,2.864,0.355,23.381,16.777,17.978,21.130,27.270,28.610
1999-12-18,23.209,25.218,19.137,19.430,19.284,16.308,2.781,27.816,10.209,13.125,27.355,8.936,26.931,28.245,4.548,0.356,23.937,16.979,17.953,20.960,27.590,28.600
1999-12-19,23.952,25.921,19.519,19.569,19.178,17.862,5.622,27.632,10.502,13.177,27.736,9.604,26.839,28.463,13.225,0.356,23.660,17.763,17.579,20.819,27.670,28.590
1999-12-20,23.847,27.005,19.730,19.472,18.542,15.971,4.934,27.855,10.399,13.035,27.893,10.530,27.204,28.412,8.790,0.361,23.893,17.080,19.189,20.663,27.840,28.580
1999-12-21,24.069,28.015,19.881,19.863,18.388,17.593,2.554,27.920,10.254,13.418,28.007,9.733,27.780,28.905,9.414,0.367,23.987,16.950,18.593,20.794,28.150,28.580
1999-12-22,23.609,28.045,19.775,20.305,18.356,18.613,2.239,27.715,10.413,12.902,27.855,9.834,27.608,28.624,5.818,0.371,23.931,17.155,18.375,20.771,27.950,28.580
1999-12-23,23.311,28.105,19.398,20.147,18.292,18.767,1.849,27.774,10.348,12.721,27.783,9.887,27.614,28.019,4.045,0.374,24.069,17.261,18.336,20.974,27.800,28.580
1999-12-24,23.637,28.337,20.174,20.058,18.902,13.857,0.910,27.977,9.844,11.324,28.033,10.006,27.736,27.596,2.278,0.372,24.420,15.387,17.648,21.078,27.840,28.580
1999-12-25,23.611,29.019,19.531,19.657,19.688,6.438,1.592,28.738,9.680,11.118,28.732,8.986,28.272,27.563,1.874,0.368,25.132,16.013,16.731,21.810,28.330,28.580
1999-12-26,23.622,28.980,18.731,19.458,19.951,5.953,6.327,29.079,9.947,12.370,29.084,9.117,28.451,27.501,2.141,0.360,25.302,16.889,15.716,22.423,28.530,28.580
1999-12-27,23.838,28.776,19.170,20.197,17.978,15.278,8.367,29.162,10.110,13.121,28.968,9.691,28.376,28.048,13.265,0.351,25.120,17.209,15.589,22.183,28.640,28.590
1999-12-28,24.291,28.448,19.728,20.312,16.204,25.061,7.826,28.935,10.222,13.388,28.684,9.773,28.328,28.729,14.289,0.348,24.976,17.867,15.931,21.971,28.670,28.600
1999-12-29,24.095,28.290,19.673,19.682,16.767,24.203,5.741,28.836,10.418,13.689,28.531,10.386,28.346,28.362,12.952,0.347,25.276,18.053,18.316,21.877,28.520,28.610
1999-12-30,23.628,28.358,19.141,19.417,16.647,21.069,4.385,28.914,10.417,14.104,28.579,10.571,28.430,28.027,5.050,0.351,25.311,17.248,19.843,21.825,28.490,28.620
1999-12-31,23.707,28.457,18.695,19.748,17.019,19.315,3.302,28.872,10.398,14.659,28.534,10.784,28.487,27.771,4.657,0.356,25.082,16.788,19.928,21.636,28.420,28.640
2000-01-01,23.489,28.349,18.821,19.261,17.155,21.531,2.683,28.788,10.379,15.242,28.507,10.177,28.528,27.643,4.926,0.358,25.243,17.134,20.036,21.434,28.370,28.650
2000-01-02,23.018,28.433,19.090,17.336,17.131,23.790,2.514,28.374,10.391,15.206,28.508,9.749,28.561,27.566,4.621,0.360,25.249,16.955,19.740,21.446,28.250,28.670
2000-01-03,23.043,28.519,19.473,18.826,17.308,24.763,3.258,28.717,10.443,15.357,28.555,9.658,28.675,27.765,8.417,0.362,25.129,17.166,19.479,21.820,28.430,28.690
2000-01-04,23.308,28.382,20.146,18.668,17.241,24.581,2.831,28.694,10.572,14.618,28.463,9.645,28.540,28.278,7.322,0.364,25.106,17.659,19.506,21.821,28.490,28.710
2000-01-05,23.381,28.314,19.296,19.217,17.866,23.676,5.071,28.663,10.626,14.581,28.427,10.481,28.788,27.932,6.097,0.364,25.717,17.280,19.992,21.615,28.450,28.740
2000-01-06,22.898,28.317,19.654,18.330,17.958,23.535,3.117,28.920,10.824,13.346,28.633,10.209,28.708,27.762,3.726,0.376,25.676,17.345,20.323,21.376,28.510,28.760
2000-01-07,23.183,28.424,19.717,17.677,18.018,24.119,3.693,29.162,11.103,14.425,28.648,9.809,28.845,27.870,4.034,0.380,25.108,17.680,20.244,21.494,28.630,28.790
2000-01-08,22.997,28.484,19.403,18.610,18.716,23.704,5.201,29.109,11.281,13.981,28.669,9.898,28.872,27.858,8.051,0.384,25.335,17.799,20.084,21.460,28.630,28.820
2000-01-09,23.783,28.615,19.378,18.364,18.926,22.819,3.314,29.034,11.616,13.098,28.624,9.774,28.758,27.998,13.072,0.388,25.726,18.084,19.950,21.398,28.600,28.850
2000-01-10,24.780,29.106,19.452,18.515,18.911,21.985,4.036,28.899,12.516,13.446,28.654,10.028,28.573,28.600,14.419,0.386,26.122,18.793,20.006,21.410,28.680,28.880
2000-01-11,24.610,30.237,19.297,20.291,18.965,21.683,6.037,28.929,12.414,13.178,28.678,10.539,29.184,28.069,13.479,0.390,26.106,18.674,20.423,21.297,28.710,28.910
2000-01-12,23.897,30.198,19.447,20.068,19.010,21.380,4.778,29.079,12.457,13.039,28.821,10.715,30.018,27.998,5.116,0.396,26.413,18.025,21.237,21.542,28.980,28.950
2000-01-13,23.908,30.060,19.524,19.396,19.120,20.896,3.457,29.303,12.716,13.015,29.001,10.521,30.141,28.302,10.452,0.400,25.900,18.330,21.586,21.585,29.190,28.980
2000-01-14,24.130,30.352,19.926,21.274,19.277,20.134,3.189,29.597,13.150,11.240,29.366,10.948,30.533,28.505,3.580,0.404,26.485,17.605,20.966,21.878,29.500,29.020
2000-01-15,23.038,34.199,20.018,18.328,18.957,27.939,7.839,30.602,17.853,9.464,29.747,11.528,31.405,27.954,3.599,0.413,26.947,19.126,21.050,22.687,29.930,29.060
2000-01-16,23.043,33.419,19.994,22.696,19.161,16.195,11.394,30.719,18.422,11.782,29.459,11.574,31.528,28.129,3.624,0.403,25.797,18.987,21.023,23.219,29.960,29.100
2000-01-17,24.011,29.371,19.608,21.933,19.724,19.713,12.563,30.313,18.112,12.686,29.990,11.698,31.007,29.656,7.354,0.389,25.558,19.103,21.631,22.947,30.240,29.140
2000-01-18,25.417,30.940,19.257,22.731,19.869,23.467,13.338,30.508,17.881,13.801,30.009,12.370,31.175,30.433,16.652,0.384,26.021,20.429,21.942,22.682,30.530,29.180
2000-01-19,25.909,30.346,19.374,22.954,19.948,23.920,10.154,30.376,17.929,14.805,30.177,12.920,31.203,30.787,17.388,0.387,26.091,22.429,21.861,22.598,30.640,29.230
2000-01-20,25.850,30.445,20.233,21.738,19.638,27.687,8.188,30.081,18.660,15.724,30.078,13.504,31.100,30.774,16.942,0.390,27.044,22.809,21.933,22.542,30.510,29.270
2000-01-21,25.814,30.246,20.545,21.186,20.063,26.818,17.356,30.162,18.821,15.988,30.590,13.734,31.093,30.078,15.653,0.403,27.655,21.675,21.305,22.973,30.480,29.320
2000-01-22,25.647,30.349,19.763,21.133,20.306,27.375,17.910,30.367,19.080,17.037,30.949,13.851,30.993,29.846,13.179,0.411,27.891,21.720,20.997,23.026,30.540,29.370
2000-01-23,25.335,30.171,21.296,21.086,20.127,29.639,17.558,30.051,19.073,16.624,30.795,13.203,30.733,29.780,16.195,0.441,29.154,22.180,21.883,24.118,30.340,29.420
2000-01-24,26.030,29.753,21.385,21.444,19.887,29.829,20.306,29.951,19.591,15.752,30.391,13.010,30.528,29.068,15.442,0.437,29.584,21.495,21.774,24.331,29.980,29.470
